index,icao,Total Time Delayed,iata,name,city,subd,country,elevation,lat,lon,tz,lid,Time_delayed_scale,base
0,EHAM,207875,AMS,Amsterdam Airport Schiphol,Amsterdam,North Holland,NL,-11,52.30860138,4.76388979,Europe/Amsterdam,,5.317802262,1
1,LFPG,204649,CDG,Charles de Gaulle International Airport,Paris,Ile-de-France,FR,392,49.01279831,2.549999952,Europe/Paris,,5.311009627,1
2,LEMD,175979,MAD,Madrid Barajas International Airport,Madrid,Madrid,ES,2001,40.4936,-3.56676,Europe/Madrid,,5.245460845,0
3,LEBL,141727,BCN,Barcelona International Airport,Barcelona,Catalonia,ES,12,41.29710007,2.078459978,Europe/Madrid,,5.151452594,1
4,EDDM,141065,MUC,Munich International Airport,Munich,Bayern,DE,1487,48.35380173,11.78610039,Europe/Berlin,,5.149419273,0
5,LEPA,110072,PMI,Palma De Mallorca Airport,Palma De Mallorca,Balearic-Islands,ES,27,39.55170059,2.738810062,Europe/Madrid,,5.041676858,1
6,EGKK,108817,LGW,London Gatwick Airport,London,England,GB,202,51.14810181,-0.190277994,Europe/London,,5.036696749,1
7,LIRF,106267,FCO,Leonardo Da Vinci (Fiumicino) International Airport,Rome,Latium,IT,15,41.80450058,12.25080013,Europe/Rome,,5.02639842,1
8,LSZH,105557,ZRH,Zurich Airport,Zurich,Zurich,CH,1416,47.46469879,8.54916954,Europe/Zurich,,5.023487039,0
9,LGAV,103837,ATH,Eleftherios Venizelos International Airport,Athens,Attica,GR,308,37.93640137,23.94449997,Europe/Athens,,5.016352132,0
10,LPPT,101265,LIS,Lisbon Portela Airport,Lisbon,Lisbon,PT,374,38.78129959,-9.135919571,Europe/Lisbon,,5.005459367,1
11,EKCH,101135,CPH,Copenhagen Kastrup Airport,Copenhagen,Capital-Region,DK,17,55.61790085,12.65600014,Europe/Copenhagen,,5.004901479,0
12,LFPO,99372,ORY,Paris-Orly Airport,Paris,Ile-de-France,FR,291,48.72529984,2.359440088,Europe/Paris,,4.997264031,1
13,LTAI,95386,AYT,Antalya International Airport,Antalya,Antalya,TR,177,36.89870071,30.80050087,Europe/Istanbul,,4.979484637,0
14,LIMC,93357,MXP,Malpensa International Airport,Milan,Lombardy,IT,768,45.63059998,8.728110313,Europe/Rome,,4.970146887,1
15,EGSS,87973,STN,London Stansted Airport,London,England,GB,348,51.88499832,0.234999999,Europe/London,,4.944349402,0
16,ESSA,85192,ARN,Stockholm-Arlanda Airport,Stockholm,Stockholm,SE,137,59.65190125,17.91860008,Europe/Stockholm,,4.930398814,0
17,EDDB,81034,BER,Berlin Brandenburg Airport,Berlin,Brandenburg,DE,156,52.362167,13.500667,Europe/Berlin,,4.908667277,1
18,EGCC,79268,MAN,Manchester Airport,Manchester,England,GB,257,53.35369873,-2.274950028,Europe/London,,4.899097901,1
19,LSGG,77822,GVA,Geneva Cointrin International Airport,Geneva,Geneva,CH,1411,46.23809814,6.108950138,Europe/Zurich,,4.891102388,1
20,LLBG,71851,TLV,Ben Gurion International Airport,Tel Aviv,Central District,IL,135,32.01139832,34.88669968,Asia/Jerusalem,,4.856432817,0
21,LEMG,69716,AGP,Malaga Airport,Malaga,Andalusia,ES,53,36.67490005,-4.499110222,Europe/Madrid,,4.843332461,0
22,LFMN,67572,NCE,Nice-Cote d'Azur Airport,Nice,Provence-Alpes-Cote-d'Azur,FR,12,43.65840149,7.215869904,Europe/Paris,,4.829766773,1
23,GCLP,58933,LPA,Gran Canaria Airport,Gran Canaria Island,Canary-Islands,ES,78,27.93190002,-15.38659954,Atlantic/Canary,,4.77035855,0
24,EGGW,58889,LTN,London Luton Airport,London,England,GB,526,51.87469864,-0.368333012,Europe/London,,4.77003418,0
25,EDDH,51535,HAM,Hamburg Airport,Hamburg,Hamburg,DE,53,53.63040161,9.988229752,Europe/Berlin,,4.71210228,1
26,LIML,50590,LIN,Linate Airport,Milan,Lombardy,IT,353,45.44509888,9.276740074,Europe/Rome,,4.704064679,0
27,EGPH,48981,EDI,Edinburgh Airport,Edinburgh,Scotland,GB,135,55.95000076,-3.372499943,Europe/London,,4.690027647,1
28,LKPR,48070,PRG,Ruzyne International Airport,Prague,Praha,CZ,1247,50.10079956,14.26000023,Europe/Prague,,4.681874122,0
29,LPPR,46166,OPO,Francisco de Sa Carneiro Airport,Porto,Porto,PT,228,41.24810028,-8.681389809,Europe/Lisbon,,4.664322247,0
30,LFML,45816,MRS,Marseille Provence Airport,Marseille,Provence-Alpes-Cote-d'Azur,FR,74,43.43927192,5.221424103,Europe/Paris,,4.66101717,0
31,LEAL,44885,ALC,Alicante International Airport,Alicante,Valencia,ES,142,38.28219986,-0.558156014,Europe/Madrid,,4.65210123,0
32,LIME,44432,BGY,Bergamo / Orio Al Serio Airport,Bergamo,Lombardy,IT,782,45.6739006,9.704170227,Europe/Rome,,4.647695862,0
33,LIRN,42771,NAP,Napoli / Capodichino International Airport,Napoli,Campania,IT,294,40.88600159,14.29080009,Europe/Rome,,4.631149404,1
34,LFLL,40282,LYS,Lyon Saint-Exupery Airport,Lyon,Auvergne-Rhone-Alpes,FR,821,45.72639847,5.090829849,Europe/Paris,,4.605111025,1
35,LIPZ,39567,VCE,Venezia / Tessera -  Marco Polo Airport,Venezia,Veneto,IT,7,45.50529861,12.3519001,Europe/Rome,,4.597333123,1
36,LICC,36544,CTA,Catania / Fontanarossa Airport,Catania,Sicily,IT,39,37.46680069,15.06639957,Europe/Rome,,4.562816082,0
37,GCTS,35482,TFS,Tenerife South Airport,Tenerife Island,Canary-Islands,ES,209,28.04450035,-16.57250023,Atlantic/Canary,,4.550008092,0
